cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_00_00,20.5,88.5,4.5,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_01,20.5,89.5,4.5,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_02,20.5,90.5,4.5,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_03,20.5,91.5,4.5,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_04,20.5,92.5,4.5,7d,0.019165,6,51.859,0.115699,0.002217,0.002215,0.000925,0.00456,False,
cell_00_05,20.5,93.5,4.5,7d,0.019165,17,51.859,0.327814,0.006283,0.006263,0.003794,0.009783,False,
cell_00_06,20.5,94.5,4.5,7d,0.019165,42,51.859,0.809894,0.015522,0.015402,0.011279,0.020554,False,
cell_00_07,20.5,95.5,4.5,7d,0.019165,15,51.859,0.289248,0.005543,0.005528,0.003236,0.008873,False,
cell_01_00,21.5,88.5,4.5,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_01,21.5,89.5,4.5,7d,0.019165,4,51.859,0.077133,0.001478,0.001477,0.000499,0.003509,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
