cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_00_00,20.5,88.5,4.5,90d,0.246407,0,51.859,0.0,0.0,0.0,2e-06,0.011865,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_01,20.5,89.5,4.5,90d,0.246407,3,51.859,0.05785,0.014255,0.014153,0.004007,0.037328,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_02,20.5,90.5,4.5,90d,0.246407,0,51.859,0.0,0.0,0.0,2e-06,0.011865,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_03,20.5,91.5,4.5,90d,0.246407,3,51.859,0.05785,0.014255,0.014153,0.004007,0.037328,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_04,20.5,92.5,4.5,90d,0.246407,6,51.859,0.115699,0.028509,0.028106,0.011829,0.057072,False,
cell_00_05,20.5,93.5,4.5,90d,0.246407,17,51.859,0.327814,0.080776,0.077599,0.047693,0.118736,False,
cell_00_06,20.5,94.5,4.5,90d,0.246407,42,51.859,0.809894,0.199563,0.180912,0.135708,0.234341,False,
cell_00_07,20.5,95.5,4.5,90d,0.246407,15,51.859,0.289248,0.071273,0.068792,0.040812,0.108266,False,
cell_01_00,21.5,88.5,4.5,90d,0.246407,1,51.859,0.019283,0.004752,0.00474,0.000513,0.021965,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_01,21.5,89.5,4.5,90d,0.246407,4,51.859,0.077133,0.019006,0.018827,0.006395,0.044187,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_02,21.5,90.5,4.5,90d,0.246407,1,51.859,0.019283,0.004752,0.00474,0.000513,0.021965,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
