cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_00_00,20.5,88.5,5.0,30d,0.082136,0,51.859,0.0,0.0,0.0,1e-06,0.003971,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_01,20.5,89.5,5.0,30d,0.082136,2,51.859,0.038566,0.003168,0.003163,0.000658,0.010111,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_02,20.5,90.5,5.0,30d,0.082136,0,51.859,0.0,0.0,0.0,1e-06,0.003971,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_03,20.5,91.5,5.0,30d,0.082136,1,51.859,0.019283,0.001584,0.001583,0.000171,0.007376,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_04,20.5,92.5,5.0,30d,0.082136,2,51.859,0.038566,0.003168,0.003163,0.000658,0.010111,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_05,20.5,93.5,5.0,30d,0.082136,4,51.859,0.077133,0.006335,0.006315,0.002136,0.014952,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_06,20.5,94.5,5.0,30d,0.082136,12,51.859,0.231398,0.019006,0.018827,0.010336,0.031676,False,
cell_00_07,20.5,95.5,5.0,30d,0.082136,3,51.859,0.05785,0.004752,0.00474,0.001337,0.012601,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_00,21.5,88.5,5.0,30d,0.082136,1,51.859,0.019283,0.001584,0.001583,0.000171,0.007376,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_01,21.5,89.5,5.0,30d,0.082136,3,51.859,0.05785,0.004752,0.00474,0.001337,0.012601,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_02,21.5,90.5,5.0,30d,0.082136,0,51.859,0.0,0.0,0.0,1e-06,0.003971,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_01_03,21.5,91.5,5.0,30d,0.082136,1,51.859,0.019283,0.001584,0.001583,0.000171,0.007376,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
