cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_00_00,20.5,88.5,4.5,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_01,20.5,89.5,4.5,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_02,20.5,90.5,4.5,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_03,20.5,91.5,4.5,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_04,20.5,92.5,4.5,24h,0.002738,6,51.859,0.115699,0.000317,0.000317,0.000132,0.000653,False,
cell_00_05,20.5,93.5,4.5,24h,0.002738,17,51.859,0.327814,0.000898,0.000897,0.000543,0.001403,False,
cell_00_06,20.5,94.5,4.5,24h,0.002738,42,51.859,0.809894,0.002217,0.002215,0.001619,0.002962,False,
cell_00_07,20.5,95.5,4.5,24h,0.002738,15,51.859,0.289248,0.000792,0.000792,0.000463,0.001272,False,
cell_01_00,21.5,88.5,4.5,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_01,21.5,89.5,4.5,24h,0.002738,4,51.859,0.077133,0.000211,0.000211,7.1e-05,0.000502,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_02,21.5,90.5,4.5,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_03,21.5,91.5,4.5,24h,0.002738,4,51.859,0.077133,0.000211,0.000211,7.1e-05,0.000502,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_04,21.5,92.5,4.5,24h,0.002738,10,51.859,0.192832,0.000528,0.000528,0.000271,0.000936,False,
cell_01_05,21.5,93.5,4.5,24h,0.002738,48,51.859,0.925593,0.002534,0.002531,0.001889,0.003324,False,
cell_01_06,21.5,94.5,4.5,24h,0.002738,73,51.859,1.407673,0.003854,0.003847,0.00304,0.004805,False,
cell_01_07,21.5,95.5,4.5,24h,0.002738,13,51.859,0.250681,0.000686,0.000686,0.000385,0.00114,False,
cell_02_00,22.5,88.5,4.5,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_01,22.5,89.5,4.5,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_02,22.5,90.5,4.5,24h,0.002738,0,51.859,0.0,0.0,0.0,0.0,0.000133,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_03,22.5,91.5,4.5,24h,0.002738,4,51.859,0.077133,0.000211,0.000211,7.1e-05,0.000502,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_04,22.5,92.5,4.5,24h,0.002738,37,51.859,0.713478,0.001953,0.001951,0.001397,0.002658,False,
cell_02_05,22.5,93.5,4.5,24h,0.002738,66,51.859,1.272691,0.003484,0.003478,0.002714,0.004394,False,
cell_02_06,22.5,94.5,4.5,24h,0.002738,177,51.859,3.413125,0.009345,0.009301,0.008011,0.010741,False,
cell_02_07,22.5,95.5,4.5,24h,0.002738,46,51.859,0.887027,0.002429,0.002426,0.001799,0.003204,False,
cell_03_00,23.5,88.5,4.5,24h,0.002738,4,51.859,0.077133,0.000211,0.000211,7.1e-05,0.000502,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_01,23.5,89.5,4.5,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_02,23.5,90.5,4.5,24h,0.002738,13,51.859,0.250681,0.000686,0.000686,0.000385,0.00114,False,
cell_03_03,23.5,91.5,4.5,24h,0.002738,10,51.859,0.192832,0.000528,0.000528,0.000271,0.000936,False,
cell_03_04,23.5,92.5,4.5,24h,0.002738,20,51.859,0.385664,0.001056,0.001055,0.000665,0.001597,False,
cell_03_05,23.5,93.5,4.5,24h,0.002738,94,51.859,1.81262,0.004963,0.00495,0.004026,0.006026,False,
cell_03_06,23.5,94.5,4.5,24h,0.002738,228,51.859,4.396568,0.012037,0.011965,0.010495,0.013584,False,
cell_03_07,23.5,95.5,4.5,24h,0.002738,29,51.859,0.559213,0.001531,0.00153,0.001046,0.002165,False,
cell_04_00,24.5,88.5,4.5,24h,0.002738,1,51.859,0.019283,5.3e-05,5.3e-05,6e-06,0.000247,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_01,24.5,89.5,4.5,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_02,24.5,90.5,4.5,24h,0.002738,2,51.859,0.038566,0.000106,0.000106,2.2e-05,0.000339,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_03,24.5,91.5,4.5,24h,0.002738,13,51.859,0.250681,0.000686,0.000686,0.000385,0.00114,False,
cell_04_04,24.5,92.5,4.5,24h,0.002738,31,51.859,0.597779,0.001637,0.001635,0.001133,0.002289,False,
cell_04_05,24.5,93.5,4.5,24h,0.002738,61,51.859,1.176275,0.00322,0.003215,0.002483,0.004099,False,
cell_04_06,24.5,94.5,4.5,24h,0.002738,205,51.859,3.953054,0.010823,0.010765,0.009372,0.012306,False,
cell_04_07,24.5,95.5,4.5,24h,0.002738,99,51.859,1.909036,0.005227,0.005213,0.004263,0.006314,False,
cell_05_00,25.5,88.5,4.5,24h,0.002738,3,51.859,0.05785,0.000158,0.000158,4.5e-05,0.000423,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_01,25.5,89.5,4.5,24h,0.002738,5,51.859,0.096416,0.000264,0.000264,0.000101,0.000578,False,
cell_05_02,25.5,90.5,4.5,24h,0.002738,30,51.859,0.578496,0.001584,0.001583,0.00109,0.002227,False,
